mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	Trill:trill	crescendo_hairpin	decrescendo_hairpin
5	4	33/2	33/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	73										
5	4	35/2	35/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	74										
5	4	18	18	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	75										
5	4	19	19	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	76										
5	4	39/2	39/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	77										
5	4	16	16	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	78										
5	4	17	17	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	79										
5	4	18	18	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	80										
5	4	17	17	1.0		1/4	1/4	Chord	4/4	2	3	1/4		1/4	1	81										
6	5	20	20	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	82							14			
6	5	21	21	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	83							14			
6	5	22	22	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	84							14			
6	5	23	23	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	85							14			
6	5	47/2	47/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	86										
6	5	45/2	45/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	87										
6	5	41/2	41/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	88										
6	5	43/2	43/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	89										
6	5	22	22	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	90										
6	5	23	23	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	91										
6	5	47/2	47/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	92										
6	5	20	20	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	93										
6	5	21	21	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	94										
6	5	22	22	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	95										
