mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	20									
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	21							0		
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	22							0		
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	23									
2	2	4	4	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	24									
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	25									
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	26									
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	27									
2	2	13/2	13/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4		1/4	1	28									
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	29									
2	2	4	4	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	30							2		
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	31							2		
2	2	5	5	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	32							2		
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	33							2		
2	2	6	6	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	34							2		
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	35							2		
2	2	7	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	36							2		
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	37									
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	38							3		
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	39							3		
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	40							3		
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	41							3		
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	42							3		
3	3	8	8	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	43									
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	44									
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	45									
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	46									
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	47									
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	48									
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	49									
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	50									
3	3	8	8	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	51							4		
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	52							4		
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	53							4		
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	54							4		
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	55							4		
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	56							4		
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	57							4		
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	58									
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	59							3		
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	60							3		
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	61									
4	4	12	12	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	62									
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	63									
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	64									
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	65									
4	4	29/2	29/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4		1/4	1	66									
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	67									
4	4	12	12	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	68							5		
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	69							5		
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	70							5		
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	71							5		
4	4	14	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	72							5		
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	73							5		
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	74							5		
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	75									
5	5	16	16	0.0	0	0	Dynamic	4/4	1	1	0					mf								
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	76							6		
5	5	17	17	0.0	1/4	1/4	StaffText	4/4	1	1	0							en dehors				6		
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	77							6		
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	78							6		
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	79							6		
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	80							6		
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	81							6		
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	82							6		
5	5	16	16	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	83							7		
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	84							7		
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	85							7		
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	86							7		
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	87							7		
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	88							7		
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	89							7		
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	90									
6	6	20	20	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	91							6		
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	92							6		
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	93							6		
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	94							6		
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	95							6		
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	96							6		
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	97							6		
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	98							6		
6	6	20	20	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	99							8		
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	100							8		
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	101							8		
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	102							8		
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	103							8		
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	104							8		
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	105							8		
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	106									
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	107		articTenutoBelow					6		
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	108		articTenutoBelow					6		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	109		articTenutoBelow							
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	110							9		
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	111							9		
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	112							9		
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	113							9		
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	114							9		
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	115							9		
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	116							9		
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	117									
8	8	28	28	0.0	0	0	Dynamic	4/4	1	1	0					other-dynamics								
8	8	28	28	0.0	0	0	Dynamic	4/4	1	1	0					p								
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	118							10		
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	119							10		
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	120							10		
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	121							10		
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	122							10		
8	8	28	28	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	123									
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	124									
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	125									
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	126									
8	8	30	30	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	127									
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	128									
8	8	31	31	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	129									
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	130									
8	8	28	28	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	131							11		
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	132							11		
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	133							11		
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	134							11		
8	8	30	30	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	135							11		
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	136							11		
8	8	31	31	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	137							11		
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	138									
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	139							10		
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	140							10		
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	141									
9	9	32	32	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	142									
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	143									
9	9	33	33	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	144									
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	145									
9	9	69/2	69/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4		1/4	1	146									
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	147									
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	148							12		
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	149							12		
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	150							12		
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	151							12		
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	152							12		
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	153							12		
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	154							12		
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	155									
10	10	36	36	0.0	0	0	Dynamic	4/4	1	1	0					f								
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	156							13		
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	157							13		
10	10	38	38	0.0	1/2	1/2	Chord	4/4	1	1	0	grace32	1/32	1	158							13		
10	10	38	38	0.0	1/2	1/2	Chord	4/4	1	1	0	grace32	1/32	1	159							13		
10	10	38	38	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	160							13		
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	161							13		
10	10	39	39	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	162							13		
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	163							13		
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	164							14		
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	165							14		
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	166							14		
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	167							14		
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	168							14		
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	169							14		
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	170							14		
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	171									
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	172							13		
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	173							13		
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	174									
11	11	40	40	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	175							15		
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	176							15		
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	177							15		
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	178							15		
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	179							15		
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	180							15		
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	181							15		
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	182									
12	12	44	44	0.0	0	0	Dynamic	4/4	1	1	0					p								
12	12	44	44	0.0	0	0	StaffText	4/4	1	1	0							doucement timbré						
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	183		articTenutoAbove							
12	12	46	46	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	184		articTenutoBelow							
12	12	44	44	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	185							16		
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	186							16		
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	187							16		
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	188							16		
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	189							16		
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	190							16		
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	191							16		
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	192									
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	193		articTenutoAbove							
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	194		articTenutoBelow							
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	195							17		
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	196							17		
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	197							17		
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	198							17		
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	199							17		
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	200							17		
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	201							17		
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	202									
14	14	52	52	0.0	0	0	StaffText	4/4	1	1	0							"<i>incolore et
toujurs</i>"						
14	14	52	52	0.0	0	0	Dynamic	4/4	1	1	0					p								
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	203							18		
14	14	53	53	0.0	1/4	1/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	204							18		
14	14	53	53	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	205							18		
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	206							18		
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	207							18		
14	14	55	55	0.0	3/4	3/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	208							18		
14	14	55	55	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	209							18		
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	210							18		
14	14	52	52	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	211							19		
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	212							19		
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	213							19		
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	214							19		
14	14	54	54	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	215							19		
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	216							19		
14	14	55	55	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	217							19		
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	218									
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	219							18		
15	15	57	57	0.0	1/4	1/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	220							18		
15	15	57	57	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	221							18		
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	222							18		
15	15	58	58	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	223							18		
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	224							18		
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	225							18		
15	15	56	56	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	226							20		
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	227							20		
15	15	57	57	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	228							20		
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	229							20		
15	15	58	58	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	230							20		
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	231							20		
15	15	59	59	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	232							20		
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	233									
16	16	60	60	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	234							18		
16	16	61	61	0.0	1/4	1/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	235							18		
16	16	61	61	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	236							18		
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	237							18		
16	16	62	62	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	238							18		
16	16	63	63	0.0	3/4	3/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	239							18		
16	16	63	63	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	240							18		
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	241							18		
16	16	60	60	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	242							21		
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	243							21		
16	16	61	61	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	244							21		
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	245							21		
16	16	62	62	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	246							21		
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	247							21		
16	16	63	63	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	248							21		
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	249									
17	17	64	64	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	250							18		
17	17	65	65	0.0	1/4	1/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	251							18		
17	17	65	65	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	252							18		
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	253							18		
17	17	66	66	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	254							18		
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	255							18		
17	17	67	67	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	256									
17	17	64	64	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	257							22		
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	258							22		
17	17	65	65	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	259							22		
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	260							22		
17	17	66	66	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	261							22		
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	262							22		
17	17	67	67	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	263							22		
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	264									
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	265		articTenutoAbove							
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	266		articTenutoBelow							
18	18	68	68	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	267							23		
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	268							23		
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	269							23		
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	270							23		
18	18	70	70	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	271							23		
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	272							23		
18	18	71	71	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	273							23		
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	274									
