mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	1/4	1/4	0.25		1/16	13/16	4/4	1	1	1/16		1/16	1		0	72	C5	5	0
1	0	1/2	1/2	0.25		1/8	7/8	4/4	1	1	1/16		1/16	1		2	74	D5	5	1
1	0	3/4	3/4	0.25		3/16	15/16	4/4	1	1	1/16		1/16	1		4	76	E5	5	2
2	1	1	1	1.0		0	0	4/4	2	1	1/4		1/4	1		-1	41	F2	2	15
2	1	1	1	1.0		0	0	4/4	2	1	1/4		1/4	1		3	57	A3	3	15
2	1	1	1	1.0		0	0	4/4	1	1	1/4		1/4	1		-1	65	F4	4	3
2	1	1	1	1.0		0	0	4/4	1	1	1/4		1/4	1		-1	77	F5	5	3
2	1	3/2	3/2	0.5		1/8	1/8	4/4	1	2	1/8		1/8	1		3	69	A4	4	13
2	1	3/2	3/2	0.5		1/8	1/8	4/4	1	2	1/8		1/8	1		0	72	C5	5	13
2	1	2	2	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1		-2	46	Bb2	2	16
2	1	2	2	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1		2	62	D4	4	16
2	1	2	2	0.75		1/4	1/4	4/4	1	1	3/16		1/8	3/2		-1	65	F4	4	4
2	1	2	2	0.75		1/4	1/4	4/4	1	1	3/16		1/8	3/2		-1	77	F5	5	4
2	1	5/2	5/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		-2	70	Bb4	4	14
2	1	5/2	5/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		2	74	D5	5	14
2	1	11/4	11/4	0.25		7/16	7/16	4/4	1	1	1/16		1/16	1		-1	77	F5	5	5
2	1	3	3	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		1	43	G2	2	17
2	1	3	3	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		-2	58	Bb3	3	17
2	1	3	3	0.25		1/2	1/2	4/4	1	1	1/16		1/16	1		1	79	G5	5	6
2	1	13/4	13/4	0.25		9/16	9/16	4/4	1	1	1/16		1/16	1		-1	77	F5	5	7
2	1	7/2	7/2	0.25		5/8	5/8	4/4	1	1	1/16		1/16	1		4	76	E5	5	8
2	1	15/4	15/4	0.25		11/16	11/16	4/4	1	1	1/16		1/16	1		2	74	D5	5	9
