mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
2	1	1	1.0	0	0	4/4	2	1		F.I{		F	I		I	I						{	M	0	0	0, 4, 1		0	0
2	1	2	1.0	1/4	1/4	4/4	2	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
2	1	3	1.0	1/2	1/2	4/4	2	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
2	1	4	1.0	3/4	3/4	4/4	2	2		V(6)	iii6	F	I		V(6)	V			6				M	0	0	1, 5, 4		1	1
3	2	5	1.0	0	0	4/4	2	2		V7(+964)		F	I		V7(+964)	V		7	+964				Mm7	0	0	1, 0, 4, -1	3	1	1
3	2	6	3.0	1/4	1/4	4/4	2	2		V(6+4)		F	I		V(6+4)	V			6+4				M	0	0	1, 5, 4	0	1	1
3	2	8	0.0	3/4	3/4	4/4	2	2		}		F	I									}		0	0				
4	3	9	1.0	0	0	7/4	2	1		I{		F	I		I	I						{	M	0	0	0, 4, 1		0	0
4	3	10	1.0	1/4	1/4	7/4	2	1		IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	3	11	1.0	1/2	1/2	7/4	2	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
4	3	12	1.0	3/4	3/4	7/4	2	1		V(64)		F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
4	3	13	1.0	1	1	7/4	2	1		V7(+964)		F	I		V7(+964)	V		7	+964				Mm7	0	0	1, 0, 4, -1	3	1	1
4	3	14	2.0	5/4	5/4	7/4	2	1		V(6)		F	I		V(6)	V			6				M	0	0	1, 5, 4		1	1
5	4	16	1.0	0	0	4/4	2	2		I|EC}{		F	I		I	I					EC	}{	M	0	0	0, 4, 1		0	0
5	4	17	1.0	1/4	1/4	4/4	2	2		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
5	4	18	1.0	1/2	1/2	4/4	2	2		V(96)		F	I		V(96)	V			96				M	0	0	1, 5, 4	3	1	1
5	4	19	1.0	3/4	3/4	4/4	2	2		V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	5	20	1.0	0	0	4/4	2	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
6	5	21	1.0	1/4	1/4	4/4	2	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
6	5	22	1.0	1/2	1/2	4/4	2	1		V(96)		F	I		V(96)	V			96				M	0	0	1, 5, 4	3	1	1
6	5	23	1.0	3/4	3/4	4/4	2	1		V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	24	8.0	0	0	4/4	2	2		ii7		F	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
8	7	63/2	0.0	7/8	7/8	4/4	2	2		}		F	I									}		0	0				
9	8	32	6.0	0	0	3/8	2	1		ii7(9){		F	I		ii7(9)	ii		7	9			{	mm7	0	0	2, -1, 3, 0	4	2	2
12	11	73/2	0.0	0	0	3/8	2	1		}		F	I									}		0	0				
13	12	38	1.5	0	0	3/8	2	1		IVM65{		F	I		IVM65	IV	M	65				{	MM7	0	0	3, 0, 4, -1		-1	3
14	13	79/2	0.5	0	0	3/8	2	1		iii		F	I		iii	iii							m	0	0	4, 1, 5		4	4
14	13	40	1.0	1/8	1/8	3/8	2	1		ii2		F	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
