mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
2	1	0	0	4/4	2	1	F.I{			F	I		I	I						{	M	0	0	-1, 3, 0		-1	-1	0	6	0.0	0.0	1.25	0.0
2	1	1/4	1/4	4/4	2	1	IV			F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	7	0.0	0.0	1.1875	0.0
2	1	1/2	1/2	4/4	2	1	ii			F	I		ii	ii							m	0	0	1, -2, 2		1	1	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
2	1	3/4	3/4	4/4	2	2	V(6)		iii6	F	I		V(6)	V			6				M	0	0	0, 4, 3		0	0	0	8	0.0	0.0	0.875	0.0
3	2	0	0	4/4	2	2	V7(964)			F	I		V7(964)	V		7	964				Mm7	0	0	0, -1, 3, -2	2	0	0	1	7	0.125	0.0625	1.5625	0.038461538461538464
3	2	1/4	1/4	4/4	2	2	V(64)			F	I		V(64)	V			64				M	0	0	0, -1, 3		0	0	7	8	0.4666666666666667	0.6875	0.8125	0.4583333333333333
4	3	0	0	7/4	2	1	I			F	I		I	I							M	0	0	-1, 3, 0		-1	-1	0	6	0.0	0.0	1.25	0.0
4	3	1/4	1/4	7/4	2	1	IV			F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	7	0.0	0.0	1.1875	0.0
4	3	1/2	1/2	7/4	2	1	ii			F	I		ii	ii							m	0	0	1, -2, 2		1	1	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
4	3	3/4	3/4	7/4	2	1	V(64)			F	I		V(64)	V			64				M	0	0	0, -1, 3		0	0	2	6	0.25	0.125	1.5	0.07692307692307693
4	3	1	1	7/4	2	1	V7(964)			F	I		V7(964)	V		7	964				Mm7	0	0	0, -1, 3, -2	2	0	0	1	6	0.14285714285714285	0.0625	0.5625	0.1
4	3	5/4	5/4	7/4	2	1	V(6)			F	I		V(6)	V			6				M	0	0	0, 4, 3		0	0	3	6	0.3333333333333333	0.1875	0.5625	0.25
5	4	0	0	4/4	2	2	I|IAC}{			F	I		I	I					IAC	}{	M	0	0	-1, 3, 0		-1	-1	0	5	0.0	0.0	1.0	0.0
5	4	1/4	1/4	4/4	2	2	ii			F	I		ii	ii							m	0	0	1, -2, 2		1	1	0	6	0.0	0.0	1.25	0.0
5	4	1/2	1/2	4/4	2	2	V(96)			F	I		V(96)	V			96				M	0	0	0, 4, 3	2	0	0	3	9	0.25	0.375	2.125	0.15
6	5	0	0	4/4	2	1	I			F	I		I	I							M	0	0	-1, 3, 0		-1	-1	0	6	0.0	0.0	1.25	0.0
6	5	1/4	1/4	4/4	2	1	ii			F	I		ii	ii							m	0	0	1, -2, 2		1	1	0	6	0.0	0.0	1.25	0.0
6	5	1/2	1/2	4/4	2	1	V(96)			F	I		V(96)	V			96				M	0	0	0, 4, 3	2	0	0	3	9	0.25	0.375	2.125	0.15
7	6	0	0	4/4	2	2	ii7			F	I		ii7	ii		7					mm7	0	0	1, -2, 2, -1		1	1	12	36	0.25	1.5	5.0	0.23076923076923078
9	8	0	0	3/8	2	1	ii7(9)}{			F	I		ii7(9)	ii		7	9			}{	mm7	0	0	1, -2, 2, -1	3	1	1	0	46	0.0	0.0	7.625	0.0
13	12	0	0	3/8	2	1	IVM65			F	I		IVM65	IV	M	65					MM7	0	0	2, -1, 3, -2		-2	2	1	8	0.1111111111111111	0.125	1.0	0.1111111111111111
14	13	0	0	3/8	2	1	iii			F	I		iii	iii							m	0	0	3, 0, 4		3	3	0	4	0.0	0.0	0.5	0.0
14	13	1/8	1/8	3/8	2	1	ii2			F	I		ii2	ii		2					mm7	0	0	-1, 1, -2, 2		1	-1	0	5	0.0	0.0	0.8125	0.0
15	14	0	0	3/8	2	1	iii64			F	I		iii64	iii		64					m	0	0	4, 3, 0		3	4	1	4	0.2	0.125	0.5	0.2
15	14	1/4	1/4	3/8	2	1	IV64(9)			F	I		IV64(9)	IV		64	9				M	0	0	-1, -2, 2	0	-2	-1	0	4	0.0	0.0	0.5	0.0
16	15	0	0	3/8	2	1	ii64(9)			F	I		ii64(9)	ii		64	9				m	0	0	2, 1, -2	3	1	2	0	6	0.0	0.0	0.5	0.0
