mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	Bb.I{		Bb	I		I	I						{	M	0	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	0.75	0.0
1	1	1/4	1/4	4/4	2	1	V7(^2)		Bb	I		V7(^2)	V		7	^2				Mm7	0	0	-1, 1, 0, -3		-1	-1	0	6	0.0	0.0	0.75	0.0
1	1	1/2	1/2	4/4	2	1	IM7		Bb	I		IM7	I	M	7					MM7	0	0	-2, 2, -1, 3		-2	-2	0	5	0.0	0.0	0.75	0.0
1	1	3/4	3/4	4/4	2	1	V7(^2)		Bb	I		V7(^2)	V		7	^2				Mm7	0	0	-1, 1, 0, -3		-1	-1	0	5	0.0	0.0	0.75	0.0
2	2	0	0	4/4	2	1	I		Bb	I		I	I							M	0	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	0.75	0.0
2	2	1/4	1/4	4/4	2	1	V7(9^2)		Bb	I		V7(9^2)	V		7	9^2				Mm7	0	0	-1, 1, 0, -3	1	-1	-1	0	5	0.0	0.0	0.75	0.0
2	2	1/2	1/2	4/4	2	1	IM7		Bb	I		IM7	I	M	7					MM7	0	0	-2, 2, -1, 3		-2	-2	0	4	0.0	0.0	1.0	0.0
2	2	3/4	3/4	4/4	2	1	V(^2)		Bb	I		V(^2)	V			^2				M	0	0	-1, 1, 0		-1	-1	0	3	0.0	0.0	0.375	0.0
3	3	0	0	4/4	2	1	I		Bb	I		I	I							M	0	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	0.75	0.0
3	3	1/4	1/4	4/4	2	1	V7(^2)		Bb	I		V7(^2)	V		7	^2				Mm7	0	0	-1, 1, 0, -3		-1	-1	0	6	0.0	0.0	0.75	0.0
3	3	1/2	1/2	4/4	2	1	IM7		Bb	I		IM7	I	M	7					MM7	0	0	-2, 2, -1, 3		-2	-2	0	5	0.0	0.0	0.75	0.0
3	3	3/4	3/4	4/4	2	1	V7(^2)		Bb	I		V7(^2)	V		7	^2				Mm7	0	0	-1, 1, 0, -3		-1	-1	0	5	0.0	0.0	0.75	0.0
4	4	0	0	4/4	2	1	I		Bb	I		I	I							M	0	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	0.75	0.0
4	4	1/4	1/4	4/4	2	1	V7(9^2)		Bb	I		V7(9^2)	V		7	9^2				Mm7	0	0	-1, 1, 0, -3	1	-1	-1	0	5	0.0	0.0	0.75	0.0
4	4	1/2	1/2	4/4	2	1	IM7		Bb	I		IM7	I	M	7					MM7	0	0	-2, 2, -1, 3		-2	-2	0	4	0.0	0.0	1.0	0.0
4	4	3/4	3/4	4/4	2	1	V(^2)		Bb	I		V(^2)	V			^2				M	0	0	-1, 1, 0		-1	-1	0	3	0.0	0.0	0.375	0.0
5	5	0	0	4/4	2	1	I(^2)		Bb	I		I(^2)	I			^2				M	0	0	-2, 0, -1		-2	-2	0	3	0.0	0.0	0.375	0.0
5	5	1/4	1/4	4/4	2	1	V(6^2)		Bb	I		V(6^2)	V			6^2				M	0	0	-1, 1, 2		-1	-1	1	3	0.25	0.125	0.375	0.25
5	5	1/2	1/2	4/4	2	1	IM7		Bb	I		IM7	I	M	7					MM7	0	0	-2, 2, -1, 3		-2	-2	1	3	0.25	0.125	0.375	0.25
5	5	3/4	3/4	4/4	2	1	VM7(^2)		Bb	I		VM7(^2)	V	M	7	^2				MM7	0	0	-1, 1, 0, 4		-1	-1	0	4	0.0	0.0	0.5	0.0
6	6	0	0	4/4	2	1	I		Bb	I		I	I							M	0	0	-2, 2, -1		-2	-2	1	3	0.25	0.125	0.375	0.25
6	6	1/4	1/4	4/4	2	1	V(6^2)		Bb	I		V(6^2)	V			6^2				M	0	0	-1, 1, 2		-1	-1	1	3	0.25	0.125	0.375	0.25
6	6	1/2	1/2	4/4	2	1	IM7		Bb	I		IM7	I	M	7					MM7	0	0	-2, 2, -1, 3		-2	-2	1	3	0.25	0.125	0.375	0.25
6	6	3/4	3/4	4/4	2	1	VM7(^2)		Bb	I		VM7(^2)	V	M	7	^2				MM7	0	0	-1, 1, 0, 4		-1	-1	0	4	0.0	0.0	0.5	0.0
7	7	0	0	4/4	2	1	I		Bb	I		I	I							M	0	0	-2, 2, -1		-2	-2	0	3	0.0	0.0	0.5	0.0
7	7	1/4	1/4	4/4	2	1	V(^2)		Bb	I		V(^2)	V			^2				M	0	0	-1, 1, 0		-1	-1	0	3	0.0	0.0	0.5	0.0
7	7	1/2	1/2	4/4	2	1	IM7|IAC		Bb	I		IM7	I	M	7			IAC		MM7	0	0	-2, 2, -1, 3		-2	-2	0	3	0.0	0.0	0.75	0.0
7	7	3/4	3/4	4/4	2	1	V(6^2)}		Bb	I		V(6^2)	V			6^2			}	M	0	0	-1, 1, 2		-1	-1	0	2	0.0	0.0	0.25	0.0
8	8	0	0	4/4	2	1	I{		Bb	I		I	I						{	M	0	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	0.75	0.0
8	8	1/4	1/4	4/4	2	1	V7(^2)		Bb	I		V7(^2)	V		7	^2				Mm7	0	0	-1, 1, 0, -3		-1	-1	0	6	0.0	0.0	0.75	0.0
8	8	1/2	1/2	4/4	2	1	IM7		Bb	I		IM7	I	M	7					MM7	0	0	-2, 2, -1, 3		-2	-2	0	5	0.0	0.0	0.75	0.0
8	8	3/4	3/4	4/4	2	1	V7(^2)		Bb	I		V7(^2)	V		7	^2				Mm7	0	0	-1, 1, 0, -3		-1	-1	0	5	0.0	0.0	0.75	0.0
9	9	0	0	4/4	2	1	I		Bb	I		I	I							M	0	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	0.75	0.0
9	9	1/4	1/4	4/4	2	1	V7(9^2)		Bb	I		V7(9^2)	V		7	9^2				Mm7	0	0	-1, 1, 0, -3	1	-1	-1	0	5	0.0	0.0	0.75	0.0
9	9	1/2	1/2	4/4	2	1	IM7		Bb	I		IM7	I	M	7					MM7	0	0	-2, 2, -1, 3		-2	-2	0	4	0.0	0.0	1.0	0.0
9	9	3/4	3/4	4/4	2	1	V(^2)		Bb	I		V(^2)	V			^2				M	0	0	-1, 1, 0		-1	-1	0	3	0.0	0.0	0.375	0.0
10	10	0	0	4/4	2	1	i		Bb	I		i	i							m	0	0	-2, -5, -1		-2	-2	0	3	0.0	0.0	0.5	0.0
10	10	1/4	1/4	4/4	2	1	V(b6^2)		Bb	I		V(b6^2)	V			b6^2				M	0	0	-1, 1, -5		-1	-1	0	3	0.0	0.0	0.5	0.0
